profession-capability-framework	profession-capability-framework-cluster	profession-capability-framework-job-family	profession-capability-framework-job-title	profession-capability-framework-capability-type	profession-capability-framework-capability	profession-capability-framework-mastery-level	start-date	end-date
11319	15	131	1125	1	1122	13		
11320	15	131	1124	1	1122	13		
11321	12	111	1104	1	1123	11		
11322	16	132	1024	1	1123	11		
11323	13	116	1150	1	1123	11		
11324	13	117	1151	1	1123	11		
11325	13	118	1152	1	1123	11		
11326	16	135	1033	1	1123	12		
11327	16	136	1039	1	1123	12		
11328	11	105	1018	1	1123	12		
11329	16	137	1045	1	1123	12		
11330	11	101	1011	1	1123	12		
11331	13	115	1060	1	1123	12		
11332	13	124	1090	1	1123	11		
11333	13	124	1089	1	1123	12		
11334	13	124	1091	1	1123	11		
11335	16	132	1022	1	1123	12		
11336	16	133	1025	1	1123	14		
11337	12	111	1101	1	1123	13		
11338	12	112	1111	1	1123	12		
11339	13	116	1062	1	1123	12		
11340	13	117	1068	1	1123	12		
11341	13	118	1072	1	1123	12		
11342	16	135	1031	1	1123	13		
11343	13	122	1081	1	1123	14		
11344	16	132	1019	1	1123	14		
11345	16	135	1028	1	1123	14		
11346	16	136	1034	1	1123	14		
11347	13	119	1073	1	1123	14		
11348	11	105	1014	1	1123	14		
11349	16	137	1040	1	1123	14		
11350	13	123	1085	1	1123	14		
11351	13	120	1077	1	1123	12		
11352	16	136	1037	1	1123	13		
11353	13	119	1076	1	1123	12		
11354	13	119	1075	1	1123	12		
11355	11	101	1012	1	1123	11		
11356	16	132	1023	1	1123	11		
11357	12	111	1103	1	1123	11		
11358	12	112	1112	1	1123	11		
11359	16	135	1032	1	1123	12		
11360	16	136	1038	1	1123	12		
11361	16	137	1044	1	1123	12		
11362	13	115	1058	1	1123	14		
11363	16	132	1020	1	1123	14		
11364	12	111	1098	1	1123	13		
11365	12	111	1099	1	1123	13		
11366	12	112	1107	1	1123	13		
11367	12	112	1108	1	1123	13		
11368	13	116	1063	1	1123	13		
11369	13	117	1066	1	1123	13		
11370	13	118	1070	1	1123	13		
11371	16	135	1029	1	1123	14		
11372	16	136	1035	1	1123	14		
11373	11	105	1015	1	1123	14		
11374	16	137	1041	1	1123	14		
11375	13	125	1092	1	1123	13		
11376	16	134	1026	1	1123	14		
11377	13	120	1078	1	1123	13		
11378	13	122	1082	1	1123	13		
11379	13	122	1084	1	1123	12		
11380	11	101	1009	1	1123	13		
11381	11	101	1008	1	1123	13		
11382	12	111	1096	1	1123	13		
11383	12	111	1097	1	1123	13		
11384	12	112	1105	1	1123	13		
11385	12	112	1106	1	1123	13		
11386	13	116	1061	1	1123	13		
11387	13	117	1065	1	1123	14		
11388	13	118	1069	1	1123	14		
11389	13	121	1080	1	1123	12		
11390	13	121	1079	1	1123	12		
11391	11	105	1017	1	1123	13		
11392	11	101	1010	1	1123	13		
11393	13	115	1059	1	1123	13		
11394	16	132	1021	1	1123	13		
11395	12	111	1100	1	1123	13		
11396	12	111	1102	1	1123	13		
11397	12	112	1109	1	1123	13		
11398	12	112	1110	1	1123	13		
11399	13	116	1064	1	1123	12		
11400	13	117	1067	1	1123	12		
11401	13	118	1071	1	1123	12		
11402	16	135	1030	1	1123	14		
11403	16	136	1036	1	1123	14		
11404	13	119	1074	1	1123	13		
11405	13	122	1083	1	1123	12		
11406	11	105	1016	1	1123	14		
11407	16	137	1042	1	1123	14		
11408	13	123	1087	1	1123	12		
11409	13	125	1095	1	1123	12		
11410	16	137	1043	1	1123	13		
11411	13	123	1088	1	1123	11		
11412	13	123	1086	1	1123	13		
11413	11	104	1013	1	1123	14		
11414	13	125	1094	1	1123	12		
11415	13	125	1093	1	1123	12		
11416	16	134	1027	1	1123	14		
11417	16	138	1049	1	1124	14		
11418	15	131	1126	2	1125	11		
11419	15	131	1122	2	1125	14		
11420	15	131	1123	2	1125	14		
11421	15	131	1125	2	1125	12		
11422	15	131	1124	2	1125	13		
11423	16	138	1054	1	1126	11		
11424	16	138	1053	1	1126	11		
11425	16	138	1050	1	1126	13		
11426	16	138	1051	1	1126	13		
11427	16	138	1052	1	1126	12		
11428	16	132	1024	1	1127	11		
11429	16	132	1022	1	1127	12		
11430	16	133	1025	1	1127	13		
11431	16	132	1019	1	1127	14		
11432	16	132	1023	1	1127	11		
11433	16	132	1020	1	1127	14		
11434	16	134	1026	1	1127	14		
11435	16	132	1021	1	1127	13		
11436	16	134	1027	1	1127	13		
11437	15	131	1126	1	1128	11		
11438	15	131	1122	1	1128	14		
11439	15	131	1123	1	1128	14		
11440	15	131	1125	1	1128	12		
11441	15	131	1124	1	1128	13		
11442	11	102	1006	1	1024	12		
11443	11	102	1005	1	1024	13		
11444	11	102	1003	1	1024	14		
11445	15	130	1138	1	1006	13		
11446	11	103	1007	1	1024	14		
11447	15	130	1139	1	1006	14		
11448	11	102	1004	1	1024	14		
